Id,Label,followersCount,description
Paloma Moritz,Paloma Moritz,,
TotalEnergies,TotalEnergies,,
Greenpeace France,Greenpeace France,,
Raphael Glucksmann,Raphael Glucksmann,,
Peter Sagan,Peter Sagan,945778.0,"Official Twitter account of Peter Sagan, Three-time Cycling World Champion.  Business inquiries: marketing@petersagan.com"
Team TotalEnergies,Team TotalEnergies,,
CamilleEtienne,CamilleEtienne,29112.0,activiste pour la justice sociale et climatique
Mickaël Correia,Mickaël Correia,,
Salomé Saqué,Salomé Saqué,144560.0,"Journaliste économie et politique à @blast_france.
Chroniqueuse pour @lcp.
Parfois dans @28minutes.
Ex @france24."
"BLAST, Le souffle de l'info","BLAST, Le souffle de l'info",,
Elodie Nace,Elodie Nace,,
Yannick Jadot,Yannick Jadot,,
Patrick Pouyanné,Patrick Pouyanné,,
Pierre Larrouturou,Pierre Larrouturou,55768.0,Justice sociale & climat Député européen @Nouvelle_Donne Rapporteur général du Budget 🇪🇺2021. Member of the European Parliament @TheProgressives #StopEACOP 🌎
Martine Roffinella 🌈,Martine Roffinella 🌈,,
Alexandre-Reza Kokabi,Alexandre-Reza Kokabi,,
ANV-COP21,ANV-COP21,,
Les Amis de la Terre FR,Les Amis de la Terre FR,,
Alternatiba Paris,Alternatiba Paris,,
Reporterre | Le quotidien de l'écologie,Reporterre | Le quotidien de l'écologie,,
Loup Espargilière,Loup Espargilière,6601.0,"Fier papa de @Vert_le_media.
Reporter de la fin du mois et de la fin du monde."
Pauline Boyer,Pauline Boyer,2692.0,"Activiste Climat @alternatiba, écoféministe, co-autrice ""Manifeste pour la non-violence"", Chargée de campagne Transition Énergétique @greenpeace"
Attac France,Attac France,,
Lulu,Lulu,302.0,"""Scientifique de la donnée"" le jour, désobéissante la nuit | violente extrémiste islamogauchiste prête à remplacer les français
📸 @BasileMB"
Lorette Philippot,Lorette Philippot,,
Jean-Luc Mélenchon,Jean-Luc Mélenchon,,
Emmanuel Macron,Emmanuel Macron,,
ENGIE,ENGIE,,
Matthieu ORPHELIN,Matthieu ORPHELIN,50460.0,"Futur directeur général de la LPO (au 1/11/22)
ex Député écologiste de Maine-et-Loire
#climat #biodiversité
#écologie #démocratie #solidarité. PhD
Tweets perso"
